"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"redData$age_y",1.62936238745025,1.62936238745025,1,1011.99999996756,54.9964102901341,2.54968472978468e-13
"redData$feed_group",0.0395392949181949,0.0197696474590974,2,1011.99999997222,0.667291482438879,0.513322040791154
"redData$genetic_group",0.0335036340703879,0.0335036340703879,1,1011.99999996468,1.13085929793002,0.28784580216772
"as.numeric(paste(redData$sample_interval))",0.000360975533733296,0.000360975533733296,1,1011.99999996376,0.0121841271842312,0.912128524312979
"redData$maxT_Q4",0.202073434406459,0.202073434406459,1,1011.99999997312,6.82065180401338,0.00914435408324936
