"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"redData$age_y",0.503220727273867,0.503220727273867,1,1010.99999886379,17.0450405953656,3.95137621298481e-05
"redData$feed_group",0.03321244975422,0.01660622487711,2,1010.99999998907,0.562484337041357,0.569969959156688
"redData$genetic_group",0.0381178227946172,0.0381178227946172,1,1011.00000000238,1.2911229639943,0.256110372550654
"as.numeric(paste(redData$sample_interval))",0.00117565075396261,0.00117565075396261,1,1010.99999998272,0.0398215211361099,0.841870078825127
"redData$sample_year",0.0192613599619889,0.0192613599619889,1,1010.99999492234,0.652418798908842,0.419439219565952
"redData$maxT_Q2",0.187925889656169,0.187925889656169,1,1010.99999974909,6.36540636047037,0.0117890885668416
