"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"redData$AgeGroup",0.445027926502699,0.445027926502699,1,1008.99999998934,15.0563681537531,0.000111117624890399
"redData$feed_group",0.0396461995353446,0.0198230997676723,2,1008.9999999858,0.670663278136639,0.5115970909
"redData$genetic_group",0.0565580258677162,0.0565580258677162,1,1008.99999999099,1.91349443214922,0.166881593118988
"as.factor(redData$sample_year)",0.804746502015791,0.201186625503948,4,1008.9999999822,6.80662879968796,2.09016923905708e-05
"as.numeric(paste(redData$sample_interval))",0.0468418704648212,0.0468418704648212,1,1008.99999998619,1.58477345965947,0.208365625655874
