"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"redData$age_y",1.22567103336337,1.22567103336337,1,1011.99999999729,41.5300667868951,1.79267075376818e-10
"redData$feed_group",0.0318746147733385,0.0159373073866693,2,1011.99999998722,0.540012305223032,0.58290890636025
"redData$genetic_group",0.0336534141574734,0.0336534141574734,1,1011.99999998886,1.14029662080833,0.285844317512233
"as.numeric(paste(redData$sample_interval))",0.0031360085762384,0.0031360085762384,1,1011.99999999522,0.106259054893439,0.744511411238048
"redData$maxT_Q2",0.317284236095379,0.317284236095379,1,1011.99999998571,10.7507113709879,0.00107790103257815
