"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"redData$age_y",1.14544555260066,1.14544555260066,1,1010.99999998531,38.8801503637709,6.61043975433071e-10
"redData$feed_group",0.0356975852398614,0.0178487926199307,2,1010.99999998462,0.605846117520882,0.545810544557755
"redData$genetic_group",0.0352571128979472,0.0352571128979472,1,1010.99999997834,1.19674117006463,0.27423455843894
"as.numeric(paste(redData$sample_interval))",0.00147316731288569,0.00147316731288569,1,1010.99999998238,0.050004093608766,0.823101326822976
"redData$minT_Q3",0.0820094873798607,0.0820094873798607,1,1010.99999998554,2.78366893419367,0.0955394244286483
"redData$maxT_Q2",4.98981646550001e-05,4.98981646550001e-05,1,1010.99999999015,0.00169370612182993,0.967180724017488
